Day,Count
2021-01-01,136
2021-01-02,84
2021-01-03,40
2021-01-04,87
2021-01-05,45
2021-01-06,104
2021-01-07,102
2021-01-08,83
2021-01-09,196
2021-01-10,79
2021-01-11,45
2021-01-12,213
2021-01-13,231
2021-01-14,55
2021-01-15,113
2021-01-16,108
2021-01-17,53
2021-01-18,278
2021-01-19,205
2021-01-20,235
2021-01-21,149
2021-01-22,148
2021-01-23,182
2021-01-24,145
2021-01-25,314
2021-01-26,431
2021-01-27,176
2021-01-28,483
2021-01-29,335
2021-01-30,269
2021-01-31,258
2021-02-01,173
2021-02-02,182
2021-02-03,130
2021-02-04,223
2021-02-05,198
2021-02-06,156
2021-02-07,112
2021-02-08,217
2021-02-09,224
2021-02-10,242
2021-02-11,143
2021-02-12,302
2021-02-13,193
2021-02-14,183
2021-02-15,196
2021-02-16,233
2021-02-17,196
2021-02-18,116
2021-02-19,215
2021-02-20,199
2021-02-21,257
2021-02-22,259
2021-02-23,290
2021-02-24,241
2021-02-25,272
2021-02-26,326
2021-02-27,340
2021-02-28,195
2021-03-01,303
2021-03-02,262
2021-03-03,295
2021-03-04,504
2021-03-05,227
2021-03-06,336
2021-03-07,413
2021-03-08,194
2021-03-09,293
2021-03-10,336
2021-03-11,255
2021-03-12,420
2021-03-13,280
2021-03-14,339
2021-03-15,290
2021-03-16,280
2021-03-17,215
2021-03-18,175
2021-03-19,531
2021-03-20,235
2021-03-21,306
2021-03-22,334
2021-03-23,444
2021-03-24,1652
2021-03-25,240
2021-03-26,318
2021-03-27,237
2021-03-28,337
2021-03-29,296
2021-03-30,347
2021-03-31,275
2021-04-01,281
2021-04-02,654
2021-04-03,388
2021-04-04,329
2021-04-05,227
2021-04-06,488
2021-04-07,456
2021-04-08,320
2021-04-09,401
2021-04-10,259
2021-04-11,225
2021-04-12,357
2021-04-13,374
2021-04-14,480
2021-04-15,868
2021-04-16,771
2021-04-17,824
2021-04-18,274
2021-04-19,1097
2021-04-20,439
2021-04-21,305
2021-04-22,342
2021-04-23,243
2021-04-24,340
2021-04-25,278
2021-04-26,342
2021-04-27,514
2021-04-28,525
2021-04-29,420
2021-04-30,1228
2021-05-01,302
2021-05-02,284
2021-05-03,371
2021-05-04,567
2021-05-05,620
2021-05-06,592
2021-05-07,552
2021-05-08,334
2021-05-09,356
2021-05-10,586
2021-05-11,663
2021-05-12,495
2021-05-13,399
2021-05-14,318
2021-05-15,515
2021-05-16,533
2021-05-17,572
2021-05-18,565
2021-05-19,406
2021-05-20,472
2021-05-21,604
2021-05-22,536
2021-05-23,404
2021-05-24,612
2021-05-25,638
2021-05-26,696
2021-05-27,525
2021-05-28,839
2021-05-29,916
2021-05-30,578
2021-05-31,597
2021-06-01,749
2021-06-02,535
2021-06-03,620
2021-06-04,625
2021-06-05,2731
2021-06-06,754
2021-06-07,631
2021-06-08,546
2021-06-09,728
2021-06-10,616
2021-06-11,762
2021-06-12,650
2021-06-13,411
2021-06-14,699
2021-06-15,781
2021-06-16,738
2021-06-17,555
2021-06-18,547
2021-06-19,423
2021-06-20,712
2021-06-21,923
2021-06-22,837
2021-06-23,729
2021-06-24,647
2021-06-25,630
2021-06-26,467
2021-06-27,503
2021-06-28,998
2021-06-29,991
2021-06-30,913
2021-07-01,824
2021-07-02,704
2021-07-03,435
2021-07-04,348
2021-07-05,508
2021-07-06,693
2021-07-07,483
2021-07-08,577
2021-07-09,775
2021-07-10,753
2021-07-11,529
2021-07-12,739
2021-07-13,781
2021-07-14,652
2021-07-15,573
2021-07-16,690
2021-07-17,900
2021-07-18,622
2021-07-19,468
2021-07-20,687
2021-07-21,653
2021-07-22,636
2021-07-23,1037
2021-07-24,614
2021-07-25,733
2021-07-26,871
2021-07-27,873
2021-07-28,1180
2021-07-29,1220
2021-07-30,1442
2021-07-31,1167
2021-08-01,770
2021-08-02,1037
2021-08-03,1339
2021-08-04,1287
2021-08-05,1228
2021-08-06,1583
2021-08-07,874
2021-08-08,836
2021-08-09,1057
2021-08-10,1183
2021-08-11,1189
2021-08-12,1260
2021-08-13,1049
2021-08-14,1118
2021-08-15,1062
2021-08-16,1176
2021-08-17,1375
2021-08-18,2033
2021-08-19,1351
2021-08-20,1689
2021-08-21,1911
2021-08-22,1635
2021-08-23,1514
2021-08-24,2626
2021-08-25,2075
2021-08-26,2018
2021-08-27,1946
2021-08-28,1332
2021-08-29,3120
2021-08-30,1644
2021-08-31,2377
2021-09-01,1874
2021-09-02,1440
2021-09-03,1715
2021-09-04,1413
2021-09-05,1045
2021-09-06,1440
2021-09-07,2302
2021-09-08,2011
2021-09-09,1712
2021-09-10,2587
2021-09-11,1417
2021-09-12,1645
2021-09-13,1468
2021-09-14,1515
2021-09-15,1398
2021-09-16,1673
2021-09-17,1572
2021-09-18,1446
2021-09-19,2015
2021-09-20,1591
2021-09-21,1312
2021-09-22,2880
2021-09-23,1943
2021-09-24,1252
2021-09-25,1148
2021-09-26,1201
2021-09-27,1431
2021-09-28,1330
2021-09-29,1594
2021-09-30,1336
2021-10-01,2344
2021-10-02,1850
2021-10-03,2491
2021-10-04,4557
2021-10-05,1308
2021-10-06,1513
2021-10-07,1221
2021-10-08,1126
2021-10-09,1212
2021-10-10,1003
2021-10-11,1192
2021-10-12,1216
2021-10-13,1257
2021-10-14,1234
2021-10-15,1605
2021-10-16,1391
2021-10-17,2016
2021-10-18,3244
2021-10-19,1666
2021-10-20,953
2021-10-21,1270
2021-10-22,1221
2021-10-23,1432
2021-10-24,1611
2021-10-25,1498
2021-10-26,1341
2021-10-27,1848
2021-10-28,1424
2021-10-29,1552
2021-10-30,1685
2021-10-31,2385
2021-11-01,3032
2021-11-02,2879
2021-11-03,2096
2021-11-04,1861
2021-11-05,4998
2021-11-06,1563
2021-11-07,1755
2021-11-08,1872
2021-11-09,1723
2021-11-10,1831
2021-11-11,2069
2021-11-12,1442
